Post_ID;Post_Name;Post_Code;Riverbas_Name;WaterLab_Name;Latitude;Longitude;Controle_Date;Azot;BSK5;Zavisli;Kisen;Sulfat;Hlorid;Amoniy;Nitrat;Nitrit;Fosfat;SPAR;Permanganat;HSK;Fitoplan;Atrazin;Simazin
26889;р. Дніпро, 922 км, с.Козаровичі, Київське водосховище;ЧЕР ДНЕПР 0000 0000 0000 0000 0000 0922 02 32;Дніпро;Басейнова лабораторія моніторингу вод  МОЗМ дніпровських водосховищ;50.759458;30.381558;2016-02-24;NULL;2.7000000000000002;7.0;8.3000000000000007;51.299999999999997;26.300000000000001;0.19;2.6000000000000001;5.9999999999999998E-2;8.0000000000000002E-2;0.01;NULL;25.699999999999999;NULL;NULL;NULL
26921;р. Дніпро, 897 км, м.Вишгород, н/б Київської ГЕС, питний водозабір м.Київ;ЧЕР ДНЕПР 0000 0000 0000 0000 0000 0897 03 32;Дніпро;Басейнова лабораторія моніторингу вод  МОЗМ дніпровських водосховищ;50.560714;30.491367;2017-02-20;NULL;NULL;NULL;4.7999999999999998;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
26922;р. Сож, 32 км, с. Ст. Яриловичі, Ріпкинського р-ну  (кордон з Білоруссю);ЧЕР ДНЕПР 1121 0000 0000 0000 0000 0032 01 74;Дніпро;Лабораторія моніторингу вод та ґрунтів Деснянського БУВР;52.046428;30.945367;2017-11-21;NULL;1.98;11.5;9.1699999999999999;38.420000000000002;18.609999999999999;0.22;1.6899999999999999;3.2000000000000001E-2;0.26000000000000001;0.01;NULL;20.0;NULL;NULL;NULL
26926;р. Прип'ять, 60 км, с. Довляди, кордон з Білоруссю;ЧЕР ДНЕПР 0981 0000 0000 0000 0000 0060 04 32;Дніпро;Басейнова лабораторія моніторингу вод  МОЗМ дніпровських водосховищ;51.475711;29.946869;2016-09-20;NULL;3.6000000000000001;12.199999999999999;8.0999999999999996;26.100000000000001;30.600000000000001;0.34999999999999998;0.59999999999999998;0.14999999999999999;8.0000000000000002E-2;0.01;NULL;26.0;NULL;NULL;NULL
26930;р. Вижівка, 0,5 км, с. Якушів;ЧЕР ДНЕПР 0981 0703 0000 0000 0000 0001 01 07;Дніпро;Лабораторія моніторингу вод та ґрунтів РОВР у Волинській області;51.685069;24.592669;2018-10-29;NULL;NULL;13.0;8.3699999999999992;42.240000000000002;12.1;0.47999999999999998;38.609999999999999;0.01;8.2000000000000003E-2;NULL;NULL;9.8000000000000007;NULL;NULL;NULL
26932;р. Стохід, 19 км, м. Любешів, північно-східна околиця;ЧЕР ДНЕПР 0981 0603 0000 0000 0000 0019 01 07;Дніпро;Лабораторія моніторингу вод та ґрунтів РОВР у Волинській області;51.768164;25.524961;2016-05-24;NULL;1.7;11.0;7.5599999999999996;82.310000000000002;13.9;1.0700000000000001;2.1400000000000001;6.4000000000000001E-2;0.094;NULL;NULL;6.04;NULL;NULL;NULL
26934;р. Стир, 308 км, м.Луцьк, питний в/з міста;ЧЕР ДНЕПР 0981 0491 0000 0000 0000 0416 02 07;Дніпро;Лабораторія моніторингу вод та ґрунтів РОВР у Волинській області;50.734794;25.364917;2017-01-23;NULL;3.3799999999999999;8.0;8.7300000000000004;72.120000000000005;17.0;0.24199999999999999;1.8500000000000001;5.8999999999999997E-2;0.14599999999999999;NULL;NULL;5.7999999999999998;NULL;NULL;NULL
26935;р. Стир, 183 км, м. Вараш (Кузнєцовськ), водозабір РАЕС;ЧЕР ДНЕПР 0981 0491 0000 0000 0000 0183 03 56;Дніпро;Лабораторія моніторингу вод та ґрунтів РОВР у Рівненській області;51.312822;25.883014;2017-04-04;NULL;2.7400000000000002;3.2999999999999998;7.8899999999999997;28.93;17.0;0.29999999999999999;3.27;0.153;0.10000000000000001;0.0;9.8000000000000007;23.600000000000001;NULL;NULL;NULL
26935;р. Стир, 183 км, м. Вараш (Кузнєцовськ), водозабір РАЕС;ЧЕР ДНЕПР 0981 0491 0000 0000 0000 0183 03 56;Дніпро;Лабораторія моніторингу вод та ґрунтів РОВР у Рівненській області;51.312822;25.883014;2018-06-04;NULL;3.52;5.2999999999999998;7.4100000000000001;21.399999999999999;20.559999999999999;0.33000000000000002;2.1899999999999999;0.0;0.12;0.01;9.0199999999999996;29.399999999999999;NULL;NULL;NULL
26936;р. Стир, 152 км, с.Сопачів, нижче  РАЕС;ЧЕР ДНЕПР 0981 0491 0000 0000 0000 0152 04 56;Дніпро;Лабораторія моніторингу вод та ґрунтів РОВР у Рівненській області;51.388872;25.879917;2018-11-13;NULL;3.3199999999999998;3.7999999999999998;8.0899999999999999;24.280000000000001;26.899999999999999;0.54400000000000004;0.75;0.115;0.23899999999999999;8.0000000000000002E-3;9.2699999999999996;23.440000000000001;NULL;NULL;NULL
