region,locationID,companyID,companyNAME,year2018
Тернопільська,610195,02001038,"МИКУЛИНЕЦЬКА ОБЛАСНА ФIЗИОТЕРАПЕВТИЧНА ЛIКАРНЯ РЕАБIЛIТАЦIЇ,",0.031
Харківська,630414,02001771,"КНП ХОР  ОБЛАСНИЙ ТУБСАНАТОРIЙ ""ЗАНКИ"" ЗМIЇВСЬКИЙ Р-Н",0.022
Хмельницька,680730,02004500,ВIДДIЛЕННЯ ОБЛАСН.ТУБДИСПАНСЕРУ С.ОСТАШКИ ХМЕЛЬНИЦЬК Р-Н,0.015
Закарпатська,210470,02143364,"М.РАХIВ, ВIДДIЛ ОСВIТИ РАХIВСЬКОЇ РДА",0.003
Львівська,460030,02592022,"ДОЧ.П. ""САНАТОРIЙ ""ЛЮБIНЬ ВЕЛИКИЙ"" ЗАТ ЛIК.-ОЗДОРОВ. ЗАК. ПР",0.009
Харківська,630427,02648432,"ДП КС  ""САНАТОРIЙ БЕРМIНВОДИ"" ДЕРГАЧIВСЬКИЙ Р-Н",0.134
Львівська,460731,02649905,"ДОЧ.П. ""БАЛЬНЕОЛОГ. ЛIКАРНЯ"" САНАТ.-КУРОР. КОМП. ""МОРШИНКУРО",0.008
Київська,321739,02772037,"ПРАТ"" КИЇВСПЕЦТРАНС"" В.ДМИТРIВКА ОБУХIВСЬКИЙ РАЙОН",0.023
Запорізька,231661,02928203,"КЗ  ""ЗАПОРIЗЬКА ОБЛАСНА ШКОЛА ВИЩОЇ СПОРТИВНОЇ МАЙСТЕРНОСТI""",0.006
Запорізька,230533,03188636,"КУ""ТАВРIЙСЬКИЙ БУДИНОК IНВАЛIДIВ"" ЗОР ОРIХIВСЬКИЙ РАЙОН",0.049
Харківська,631486,03189558,КУ БОГОДУХIВСЬКИЙ ДИТЯЧИЙ БУДИНОК-IНТЕРНАТ,0.015
Харківська,630550,03189660,"КУ ХОРОШЕВСЬКИЙ ГЕРIАТРИЧНИЙ ПАНСIОНАТ"" С.ХОРОШЕВО",0.033
Черкаська,711287,03189724,"СТЕБЛIВСЬКИЙ ПСИХОНЕВРОЛОГIЧНИЙ  IНТЕРНАТ, СМТ.СТЕБЛIВ",0.002
Чернівецька,770212,03189989,ПЕТРИЧАНСЬКИЙ ПСИХОНЕВРОЛОГIЧНИЙ БУДИНОК-IНТЕРНАТ,0.006
Запорізька,231894,03191259,"КУ ""ВЕСЕЛIВСЬКИЙ ПНI"" ЗОР ЗАПОРIЗЬКИЙ РАЙОН",0.019
Закарпатська,210504,03191549,"С.ВIЛЬШАНИ, ДИТБУДИНОК-IНТЕРНАТ",0.072
Запорізька,230227,03327090,"КП ""ВОДОКАНАЛ""МЕЛIТОПОЛЬСЬКОЇ МIСЬКОЇ РАДИ ЗАПОРIЗЬКОЇ ОБЛАС",3.8
Запорізька,230230,03327115,"ВАСИЛIВСЬКИЙ  ЕЦВВ КП ""ОБЛВОДОКАНАЛ"" ЗОР М. ВАСИЛIВКА",0.199
Запорізька,231220,03327115,"ТАВРIЧ.ЕКСПЛУАТ.ЦЕХ ВОДОПОСТ.ТА ВОДОВIДВЕД.КП ""ЗАПОРIЖЖЯВОДО",0.715
Київ,300218,03327664,"ПРАТ ""АК ""КИЇВВОДОКАНАЛ""",283.3
Волинська,70304,03339489,"КОМУНАЛЬНЕ ПIДПРИEМСТВО ""ЛУЦЬКВОДОКАНАЛ""",0.428
Луганська,90450,03339851,"ЛИСИЧАНСЬКЕ КОМУНАЛЬНЕ СПЕЦIАЛIЗОВАНЕ ПIДПРИЕМСТВО ""ЛИСИЧАНС",3.566
Дніпропетровська,120393,03340989,"КП ""МАРГАНЕЦЬКЕ ВУВКГ""",1.796
Дніпропетровська,120398,03341305,"КП ""ДНIПРОВОДОКАНАЛ"" ДМР",53.02
Дніпропетровська,120401,03341316,"КП ""КРИВБАСВОДОКАНАЛ"",  М. КРИВИЙ РIГ",0.001
Дніпропетровська,120396,03341339,"КП ""НIКОПОЛЬСЬКЕ ВУВКГ"" НМР",1.142
Дніпропетровська,120394,03341345,"КП ""ПАВЛОГРАДСЬКЕ ВУВКГ"" ПМР",2.774
Дніпропетровська,120399,03341351,"МКП ""ПОКРОВВОДОКАНАЛ"", М. ПОКРОВ",1.108
Житомирська,180490,03344065,"КОМУНАЛЬНЕ ПIДПРИЄМСТВО ""ЖИТОМИРВОДОКАНАЛ"" ЖИТОМИРСЬКОЇ МIСЬ",0.012
Закарпатська,210453,03344183,"М.ТЯЧIВ, ВУЖКГ",0.085
Закарпатська,210438,03344326,"М.УЖГОРОД, КП""ВОДОКАНАЛ УЖГОРОД""",1.128
Закарпатська,210452,03344332,"М.ВИНОГРАДIВ, ВУЖКГ",0.589
Закарпатська,210446,03344473,"СМТ.МIЖГIР'Я, ВУЖКГ",0.118
Закарпатська,210442,03344556,"М.МУКАЧЕВО, ММКП""МУКАЧIВВОДОКАНАЛ""",0.165
Київська,320302,03346363,"КП КОР ""ФАСТIВВОДОКАНАЛ""",0.139
Львівська,460340,03348471,"ЛМКП ""ЛЬВIВВОДОКАНАЛ""",33.04
Львівська,460715,03348809,"МКП ""МИКОЛАЇВВОДОКАНАЛ""",0.27
Львівська,460889,03348809,"МКП ""МИКОЛАЇВВОДОКАНАЛ"" (С. ЛИПIВКА)",0.024
Одеська,510725,03350338,ВУЖКГ М.БIЛЯЇВКА,0.114
Одеська,510724,03350444,"КП ""ВУЖКГ"" СМТ.ТАРУТИНО",0.076
Одеська,510734,03350597,ВУЖКГ СМТ.БЕРЕЗIВКА,0.056
